Date,MP,Treatment,P,AvgFem,AvgMal,AvgJuv,AvgEggs
10/05/2011,Hom1,Hom,A1,2,2.33333333333333,9.66666666666667,2.33333333333333
10/05/2011,Hom1,Hom,A2,5.66666666666667,0.333333333333333,16,78.6666666666667
10/05/2011,Hom1,Hom,A3,3,3.33333333333333,11,3.66666666666667
10/05/2011,Hom1,Hom,B1,2,2.66666666666667,8.66666666666667,22
10/05/2011,Hom1,Hom,B2,3,1.66666666666667,21.3333333333333,15.3333333333333
10/05/2011,Hom1,Hom,B3,0.333333333333333,1.66666666666667,14.3333333333333,45
10/05/2011,Hom1,Hom,C1,1.66666666666667,1.33333333333333,14.3333333333333,16.3333333333333
10/05/2011,Hom1,Hom,C2,3,0.666666666666667,13.6666666666667,38.6666666666667
10/05/2011,Hom1,Hom,C3,2.33333333333333,1.33333333333333,12.6666666666667,32.6666666666667
10/05/2011,Hom2,Hom,A1,0.666666666666667,0.333333333333333,4.66666666666667,11
10/05/2011,Hom2,Hom,A2,2,3.66666666666667,24,10.6666666666667
10/05/2011,Hom2,Hom,A3,3.33333333333333,1,4.33333333333333,58.3333333333333
10/05/2011,Hom2,Hom,B1,5.66666666666667,2,29,7.33333333333333
10/05/2011,Hom2,Hom,B2,0.666666666666667,1,17.3333333333333,18.3333333333333
10/05/2011,Hom2,Hom,B3,4,2,13.6666666666667,22.3333333333333
10/05/2011,Hom2,Hom,C1,5.33333333333333,1.33333333333333,36.6666666666667,19.3333333333333
10/05/2011,Hom2,Hom,C2,6.66666666666667,1,10.6666666666667,28.6666666666667
10/05/2011,Hom2,Hom,C3,0.666666666666667,0.666666666666667,3.66666666666667,39.3333333333333
10/05/2011,Hom3,Hom,A1,2.66666666666667,0.666666666666667,11.3333333333333,40.3333333333333
10/05/2011,Hom3,Hom,A2,1.33333333333333,1,14,28.6666666666667
10/05/2011,Hom3,Hom,A3,2,0.666666666666667,19,23.6666666666667
10/05/2011,Hom3,Hom,B1,4,5.66666666666667,16,79
10/05/2011,Hom3,Hom,B2,3,1,3,22
10/05/2011,Hom3,Hom,B3,1.66666666666667,0.666666666666667,4.66666666666667,35.3333333333333
10/05/2011,Hom3,Hom,C1,0.666666666666667,0.666666666666667,11.3333333333333,42.6666666666667
10/05/2011,Hom3,Hom,C2,1.66666666666667,2,17.6666666666667,22
10/05/2011,Hom3,Hom,C3,3,1.33333333333333,16.6666666666667,20.3333333333333
10/05/2011,Spa1,Spa,A1,0,0,0,0
10/05/2011,Spa1,Spa,A2,4,1.33333333333333,7,42
10/05/2011,Spa1,Spa,A3,0,0,0,0
10/05/2011,Spa1,Spa,B1,5.66666666666667,1,9.33333333333333,57
10/05/2011,Spa1,Spa,B2,4.33333333333333,1.33333333333333,10.6666666666667,29.3333333333333
10/05/2011,Spa1,Spa,B3,2,0.666666666666667,6.66666666666667,10.6666666666667
